Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating
NM Hussain Mee Goreng Stall,"11 Telok Blangah Crescent, Singapore 090011 #01-87",No,Yes,No,Yes,"Indian, Lamb, Chicken, Singaporean, Seafood",4.7/5.0 (19 reviews)
Mahan Nasi Padang,"450 Clementi Avenue 3, Vari Nice Eating House, Singapore 120450 #01-305",No,Yes,No,Yes,"Asian, Malay, BBQ, Lamb, Beef, Chicken, Vegetarian, Singaporean, Seafood, Opens 24 Hours",3.9/5.0 (74 reviews)
Istimewa Kitchen,"3014 Bedok Industrial Park E, Singapore 489980",No,Yes,No,Yes,"Singaporean, Asian, Malay, Indonesian, Seafood, Beef, Lamb, Vegetarian, BBQ",4.6/5.0 (286 reviews)
Nasi Lemak Ayam Taliwang @ Ci Yuan Hawker Centre,"51 Hougang Ave 9, Ci Yuan Hawker Centre, Singapore, 530917 #01-40",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.3/5.0 (233 reviews)
Nasi Lemak Ayam Taliwang @ Yishun Park Hawker Centre,"51 Yishun Ave 11, Yishun Park Hawker Centre, Singapore 768867 #01-33",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.3/5.0 (364 reviews)
Sinar Pagi Nasi Padang @ Geylang Serai,"1 Geylang Serai, Geylang Serai Market & Food Centre, Singapore 402001 #02-137",No,Yes,Yes,No,"Seafood, Singaporean, Asian, Malay, Indonesian, BBQ, Beef, Lamb",3.8/5.0 (187 reviews)
Kacang Pool Mustafa,"1 Geylang Serai, Geylang Serai Market & Food Centre, Singapore 402001 #02-118",No,Yes,Yes,No,"Singaporean, Asian, Malay",4.4/5.0 (15 reviews)
Ali's Corner,"1 Geylang Serai, Geylang Serai Market & Food Centre, Singapore 402001 #02-159",No,Yes,Yes,No,"Singaporean, Chicken, Malay, BBQ, Beef, Lamb, Vegetarian, Seafood",2.5/5.0 (17 reviews)
G.S.Oli Thosei & Food Stall,"1 Geylang Serai, Geylang Serai Market & Food Centre, Singapore 402001 #02-138",No,Yes,Yes,No,"Singaporean, Asian, Indian, Vegetarian, Lamb",4.3/5.0 (7 reviews)
Geylang Serai Nasi Ayam Bubur Ayam,"1 Geylang Serai, Geylang Serai Market And Food Centre, Singapore 402001 #02-131",No,No,Yes,No,"BBQ, Chicken, Singaporean, Malay, Asian",4.7/5.0 (11 reviews)
Gerai Nenek Obek @ Geylang Serai,"1 Geylang Serai, Geylang Serai Market And Food Centre Singapore 402001 #02-136",No,Yes,Yes,No,"Beef, Lamb, BBQ, Fusion, Chicken, Singaporean, Seafood, Asian",3.8/5.0 (40 reviews)
Ar-Rina Nasi Padang,"155 Bukit Batok Street 11, Singapore 650155",No,Yes,No,Yes,"Lamb, Beef, BBQ, Indonesian, Vegetarian, Singaporean, Chicken, Seafood, Malay, Asian",4.4/5.0 (7 reviews)
Impian Wahyu @ Crawford Lane,"462 Crawford Ln, Singapore 190462",No,Yes,No,Yes,"Indonesian, Malay, BBQ, Lamb, Beef, Chicken, Vegetarian, Asian",4.5/5.0 (309 reviews)
Warong Java @ Bedok North Street 3,"Blk 539 Bedok North Street 3, Singapore 460539 #01-619",No,Yes,No,Yes,"Beef, Lamb, Indonesian, Malay, Chicken, Seafood, Singaporean, Asian, Vegetarian",4.3/5.0 (547 reviews)
Sri Farindah Muslim Food,"21 Woodlands Cl, Primz Bizhub, Singapore 737854",No,Yes,No,Yes,"Chicken, Singaporean, Asian, Malay, Beef, Lamb, Vegetarian",4.0/5.0 (4 reviews)
Nur Fah Muslim Corner,"1036 Sembawang Road, Singapore 758504",No,Yes,No,Yes,"Malay, Chicken, Singaporean, Asian, Beef, Lamb, Indonesian, Vegetarian",4.2/5.0 (210 reviews)
Nurul Sakinah Malay Food,"11 Clover Way, Singapore 579082",No,Yes,No,Yes,"Chicken, Malay, Beef, Lamb, Singaporean, Vegetarian",4.5/5.0 (157 reviews)
Nasi Padang by NL Delights @ Rivervale Crescent,"182a Rivervale Crescent, Singapore 541182",Yes,No,No,Yes,"Malay, Seafood, Asian, Chicken, Lamb, Beef, Vegetarian",4.1/5.0 (434 reviews)
Hajjah Ratna Nasi Padang @ Beach Road,"1 Beach Rd, Singapore 190001",No,Yes,No,Yes,"Seafood, Chicken, Asian, Malay, Beef, Lamb, Vegetarian",3.9/5.0 (10 reviews)
Kayat Nasi Padang @ Tampines Round Market & Food Centre,"137 Tampines Street 11, Tampines Round Market And Food Centre, Singapore 521137 #01-37",No,Yes,No,Yes,"Seafood, Singaporean, Chicken, Malay, Beef, Lamb, Indonesian, Lontong",2.6/5.0 (16 reviews)
Maimon Nasi Padang @ Serangoon Garden Market,"49a Serangoon Garden Way, Serangoon Garden Market, Singapore 555945 #01-29",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Lamb, Vegetarian, Malay, Beef, Indonesian",4.6/5.0 (39 reviews)
Che' Rose Nasi Padang,"128 Lor 1 Toa Payoh, Singapore 310128",No,Yes,No,Yes,"Beef, Malay, Vegetarian, Lamb, Chicken, Seafood, Singaporean, Asian",3.8/5.0 (187 reviews)
Istimewa Nasi Padang,"28 Hoy Fatt Rd, Singapore 151028",No,Yes,No,Yes,"Malay, Vegetarian, Beef, Lamb, Indonesian, Chicken, BBQ, Seafood",4.0/5.0 (428 reviews)
Otak-otak Kampung @ Geylang Serai,"1 Geylang Serai, Geylang Serai Market & Food Centre, Singapore 402001 #02-165",No,Yes,No,Yes,"Seafood, BBQ, Malay, Chicken",3.4/5.0 (28 reviews)
Geylang Briyani Stall @ Geylang Serai,"1 Geylang Serai, Geylang Serai Market & Food Centre, Singapore 402001 #02-146",No,Yes,No,Yes,"Chicken, Singaporean, Lamb, Indian",4.0/5.0 (133 reviews)
Alrahman Kitchen @ Geylang Serai,"1 Geylang Serai, Geylang Serai Market And Food Centre, Singapore 402001 #02-139",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Chicken, Asian, Indian, Lamb, Beef, Malay",4.5/5.0 (2 reviews)
Azman Seafood Restaurant @ New Upper Changi Road,"58 New Upper Changi Road, New Upper Changi Road Hawker Centre, Singapore 461058 #01-185",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Lamb, Malay, Chicken, Beef",4.2/5.0 (5 reviews)
Oleh Oleh Bandung @ East Coast Lagoon,"1220 East Coast Parkway, East Coast Lagoon Food Village, Singapore 468960 Stall 50",No,Yes,No,Yes,"Indonesian, Beef, BBQ, Chicken, Asian, Singaporean",4.1/5.0 (14 reviews)
Musa Ikan Bakar @ East Coast Lagoon,"1220 East Coast Parkway, East Coast Lagoon Food Village, Singapore 468960 Stall 51",No,Yes,No,Yes,"BBQ, Seafood, Asian, Chicken, Lamb, Vegetarian, Beef, Malay, Indonesian",4.4/5.0 (27 reviews)
Selamat Datang Warong Pak Sapari @ Adam Road Food Centre,"2 Adam Road, Adam Road Food Centre, Singapore 289876 #01-09",No,Yes,No,Yes,"Malay, Asian, Singaporean, Chicken, Mee Rebus",4.0/5.0 (93 reviews)
Siti Nur Liyana Nasi Lemak @ Adam Road Food Centre,"2 Adam Road, Adam Road Food Centre, Singapore 289876 #01-14",No,Yes,No,Yes,"Malay, Asian",4.1/5.0 (29 reviews)
Selera Rasa Nasi Lemak @ Adam Road Food Centre,"2 Adam Road, Singapore 289876 #01-02",No,Yes,No,Yes,"BBQ, Seafood, Singaporean, Chicken, Asian, Malay",4.0/5.0 (446 reviews)
Nasi Ayam Taman Serasi by Fitra (S1) @ Five Spice Jewel,"78 Airport Boulevard, Singapore 819666 #B2-238",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
Nain Food Stall @ Sims Vista Food Centre,"49 Sims Place, Sims Vista Market And Food Centre, Singapore 380049 #01-07",No,Yes,No,Yes,"Singaporean, Chicken, Vegetarian, Seafood, Malay, BBQ, Beef, Lamb, Asian, Nasi Padang",4.0/5.0 (5 reviews)
Rahmah Muslim Food @ Sims Vista Food Centre,"49 Sims Place, Sims Vista Market And Food Centre, Singapore 380049 #01-12",No,Yes,No,Yes,"Chicken, Seafood, Singaporean, Malay, Indonesian, Beef, Lamb, Asian",2.7/5.0 (11 reviews)
Haji M. Abdul Rajak Stall Soup Kambing,"17 Upper Boon Keng Road,  Upper Boon Keng Market & Food Centre, Singapore 380017",No,Yes,No,Yes,"Lamb, Indian, Singaporean",4.3/5.0 (483 reviews)
Roti Canai and Nasi Briyani (S4) @ Malaysian Food Street (RWS),"8 Sentosa Gateway, Malaysian Food Street, Singapore 098269 #01-03-28",Yes,No,No,Yes,"Beverages, Singaporean, Malay, Indian, Chinese, Dessert, Fusion, Beef, Lamb, BBQ, Mediterranean, Vegetarian",N/A
Kampung Nasi Lemak (S5) @ Malaysian Food Street (RWS),"8 Sentosa Gateway, Malaysian Food Street, Singapore 098269 #01-03-28",Yes,No,No,Yes,"Beverages, Singaporean, Malay, Indian, Chinese, Dessert, Fusion, Beef, Lamb, BBQ, Mediterranean, Vegetarian",N/A
Oasis Cafe @ Sakra Road,"3 Sakra Road, Oasis @ Sakra, Singapore 627878 #01-03",Yes,No,No,Yes,"Chicken, Singaporean, Beef, Lamb, BBQ, Malay",3.9/5.0 (999 reviews)
Ma Mum @ KK Women's and Children's Hospital,"100 Bukit Timah Rd, Singapore 229899  #01-33",Yes,No,Yes,No,"Singaporean, Asian",2.8/5.0 (51 reviews)
Padang House @ Yishun MRT,"301 Yishun Avenue 2, (Stall Part A), Yishun Mrt Station, Singapore 769093  #01-01",Yes,No,No,Yes,"Chicken, Vegetarian, Seafood, Beef, Lamb, BBQ, Malay, Asian, Indonesian",2.8/5.0 (12 reviews)
Azman Seafood Restaurant,"58 New Upper Changi Road, New Upper Changi Road Hawker Centre, Singapore 461058 #01-185",No,Yes,No,Yes,"Seafood, Malay, Asian, Singaporean, Beef, Lamb, Chicken",4.2/5.0 (5 reviews)
Shami Banana Leaf Delights @ Sembawang Road,"349 Sembawang Road, Singapore 758356",Yes,No,No,Yes,"Indian, Beverages, Chicken, Lamb, Seafood, Vegetarian",4.1/5.0 (1346 reviews)
Satay Solo Bedok Corner  (Stall 9),"1 Bedok Road, Bedok Food Centre, Singapore 469572 Stall No. 9",No,Yes,No,Yes,"Chicken, Seafood, Malay, BBQ, Beef, Lamb, Duck",3.9/5.0 (60 reviews)
Sinaran Cahaya @ Bedok Corner,"Block 1, Bedok Road, Bedok Corner Food Centre, Singapore 469572 #01-04",No,Yes,No,Yes,"Malay, Chicken, Singaporean, Beef, Lamb, Indonesian, BBQ",4.2/5.0 (12 reviews)
Fitra Chicken Rice (S7) @ Orchis T1 Canteen,"80 Airport Boulevard Ub Changi Airport Terminal 1, Singapore 819642",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
Haron Satay 55,"1220 East Coast Parkway, East Coast Lagoon Food Village, Stall 55, Singapore 468960 Stall 55",No,Yes,No,Yes,"Chicken, Beef, Lamb, BBQ, Malay, Singaporean",3.8/5.0 (346 reviews)
Jian Fa Seafood BBQ @ Our Tampines Hub,"1 Tampines Walk, Our Tampines Hub, Singapore 528523 #01-57",Yes,No,No,Yes,"Chicken, Singaporean, Seafood, Fusion, Beef, BBQ, Mediterranean, Malay, Italian, Thai, Chinese",2.6/5.0 (33 reviews)
Sinaran Chicken Rice (S4) @ LW Eating House,"26 Teck Whye Lane, Singapore 680026  #01-170",Yes,No,No,Yes,"Chicken, Singaporean, Asian, Chinese, Malay",4.2/5.0 (692 reviews)
Nasi SG Power @ Woodlands North Plaza,"Blk 883 Woodlands Street 82, Woodlands North Plaza, Singapore 730883 #01-22",No,Yes,No,Yes,"Malay, Seafood, Chicken, Beef, Lamb, BBQ, Vegetarian, Asian",4.0/5.0 (203 reviews)
Mei Wei Chicken Rice,"Blk 120 Bukit Merah Lane, Alexandra Village Food Centre, Singapore 150120",Yes,No,No,Yes,"Chicken, Asian, BBQ",4.7/5.0 (3 reviews)
Oiishii Corner @ Kim Keat Palm Market & Food Centre,"22 Lorong 7 Toa Payoh, Kim Keat Palm Market & Food Centre, Singapore 310022 #01-61",No,Yes,No,Yes,"Chicken, Seafood, Japanese",4.5/5.0 (102 reviews)
Chicken Supremo Western Food @ 493 Jurong West Street 41,"493 Jurong West Street 41, Singapore 640493 #01-02/03",Yes,No,No,Yes,"Chicken, Western, Italian",4.6/5.0 (292 reviews)
Orang Orang (F&B) Pte Ltd @ Blk 134 Bukit Batok West,"Blk 134 Bukit Batok West Ave 6, Singapore 650134",No,Yes,Yes,No,"Western, Beverages, Vegetarian, Chicken, Singaporean, Seafood, Indonesian, Italian, Chinese, Thai, Indian, Malay, BBQ, Beef, Lamb, Asian",4.3/5.0 (345 reviews)
I.Mohamed Ismail Food Stall @ Boon Lay Place,"221b Boon Lay Place, Singapore 641221 #01-104",No,Yes,No,Yes,"Chicken, Lamb, Indian, Asian",4.5/5.0 (98 reviews)
NurFir Nasi Ayam @ 2 Yishun Industrial Street 1st,"2 Yishun Industrial Street 1st, Singapore 768159",No,Yes,No,Yes,"Malay, Chicken, Vegetarian",4.5/5.0 (145 reviews)
Yes Nasi Kukus @ Woodlands Drive 16,"Blk 573 Woodlands Drive 16, Singapore 730573  #01-01",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",4.3/5.0 (380 reviews)
Hajjah Faridah Nasi Padang @ 1-3 Third Lok Yang Rd,"1-3 Third Lok Yang Rd, Singapore 627998",No,Yes,No,Yes,"Malay, Seafood, Chicken, Beef, Lamb, Vegetarian",4.2/5.0 (42 reviews)
Omar's Halal Thai Beef Noodle @ 79 Circuit Road,"79 Circuit Road, Singapore 370079 #01-54",No,Yes,No,Yes,"Beef, Chinese, Malay",4.4/5.0 (77 reviews)
Habib's Express @ 330 anchorvale,"330 Anchorvale, Singapore 540323",No,Yes,No,Yes,"Indian, Opens 24 Hours",2.7/5.0 (30 reviews)
Kaki Makan @ Changi Airport Terminal 4,"Changi Airport Terminal 4 Level 2m, Departure Transit International Food Hall Level 2M",Yes,No,Yes,No,"Asian, Singaporean, Malay, Chinese, Indian, Chicken, Seafood, Beverages, Vegetarian, Beef, Opens 24 Hours",3.9/5.0 (133 reviews)
Thaksin Beef Noodle @ Blk 2 Seah Im Road,"Blk 2 Seah Im Road, Singapore 099114 #01-44",Yes,No,No,Yes,"Beef, Asian, Chinese",3.4/5.0 (113 reviews)
Fusion Western @ Blk 449 Clementi Ave 3,"Blk 449 Clementi Ave 3, Singapore 120449 #01-211",Yes,No,No,Yes,"Western, Chicken, Beef, Lamb, Mediterranean, Fusion, BBQ, Mexican, Italian",2.8/5.0 (66 reviews)
SJ Sickaner Ammal Muslim Foods @ Yishun Park Hawker Centre,"51 Yishun Avenue 11, Singapore 768867 #01-10",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",3.4/5.0 (13 reviews)
Kalsom Kuih Muih @ Yishun Park Hawker Centre,"51 Yishun Avenue 11, Singapore 768867 #01-01",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",4.4/5.0 (20 reviews)
4 Hands Cooking @ Yishun Park Hawker Centre,"51 Yishun Avenue 11, Singapore 768867 #01-03",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",4.0/5.0 (2 reviews)
Fitra Chicken Rice (S6) @ Oasis Terraces (Gourmet Paradise),"681 Punggol Drive, Oasis Terraces, Singapore 820681 #04-01",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
Hot Hot Ayam Penyet @ 508 Jurong West Street 52,"508 Jurong West Street 52, Singapore 640508 #01-170",No,No,No,Yes,"Chicken, Indonesian, BBQ",3.6/5.0 (5 reviews)
Hai Kee Seafood @ Newton Food Centre,"500 Clemenceau Avenue North, Newton Food Centre Singapore 229495 #01-78",Yes,No,No,Yes,"Seafood, Asian, Malay, BBQ, Vegetarian, Chinese, Beef, Lamb",3.9/5.0 (7 reviews)
Green Sky Fried Kway Teow @ 1 Bedok Road,"1 Bedok Road, Singapore 469572 #01-14",Yes,No,No,Yes,"Chinese, Seafood, Chicken, Vegetarian, Malay, Asian",3.4/5.0 (68 reviews)
Goh Chew Kee Seafood BBQ @ Newton Food Centre,"500 Clemenceau Avenue North, Newton Food Centre, Singapore 229495 #01-19",Yes,No,No,Yes,"BBQ, Seafood, Chinese, Western, Chicken, Vegetarian, Beef, Lamb, Fusion, Thai, Indonesian",4.8/5.0 (21 reviews)
Edmond Chicken Rice @ Telok Blangah Crescent,"11 Telok Blangah Crescent, Singapore 090011 #01-110",Yes,No,No,Yes,"Chicken, Asian, Vegetarian, Chicken Rice",4.6/5.0 (59 reviews)
Dapur F Faiz @ Hong Lim Food Centre,"531 Upper Cross Street, Hong Lim Complex, Singapore 051531 #02-51",Yes,No,No,Yes,"Malay, Chicken",4.8/5.0 (10 reviews)
Halims Fish Soup (S12) @ The Food Market Century Square,"2 Tampines Central 5, Century Square Singapore 529509 #03-19",Yes,No,Yes,No,"Vegetarian, Singaporean, Malay, Chicken, Fusion, Thai, Korean, Japanese, Chinese, Seafood",3.0/5.0 (21 reviews)
Fire Western N Grill (S9) @The Food Market Century Square,"2 Tampines Central 5, Century Square Singapore 529509 #03-19",Yes,No,Yes,No,"Vegetarian, Singaporean, Malay, Chicken, Fusion, Thai, Korean, Japanese, Chinese, Seafood",3.1/5.0 (30 reviews)
A-Po Hokkien Mee (MR1) @ The Food Market Century Square,"2 Tampines Central 5, Century Square Singapore 529509 #03-19",Yes,No,Yes,No,"Vegetarian, Singaporean, Malay, Chicken, Fusion, Thai, Korean, Japanese, Chinese, Seafood",3.7/5.0 (73 reviews)
Fitra Hainanese Chicken Rice (S1) @ Wisma Atria (Food Republic),"435 Orchard Road, Wisma Atria Singapore 238877 #04-02/38",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
Fitra Chicken Rice (MR1) @ NEX (Food Junction),"23 Serangoon Central, Nex Shopping Centre Singapore 556083 #04-36/37",Yes,No,No,Yes,"Asian, Chicken, Singaporean",2.0/5.0 (3 reviews)
Fitra Chicken Rice (S18) @ Raffles City (Food Junction),"252 North Bridge Road, Raffles City Shopping Centre Singapore 179103 #03-15",Yes,No,No,Yes,"Asian, Chicken, Singaporean",3.7/5.0 (9 reviews)
Fitra Chicken Rice (MR3) @ Food Junction Junction 8,"9 Bishan Place, Junction 8 Shopping Centre Singapore 579837",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
Zilan Nasi Ayam,"Blk 684 Hougang Ave 8, Singapore 530684 #01-1348",No,Yes,No,Yes,"Chinese, Singaporean, Chicken, Malay, Asian",4.2/5.0 (151 reviews)
Padang Lezat (S13) @ VivoCity (Kopitiam),"1 Harbourfront Walk, Vivo City Singapore 098585 #B2-39",Yes,No,Yes,No,"Western, Singaporean, Seafood, Chinese, Japanese, Korean, Beverages, Chicken, Healthy, Italian, Thai, Indian, Mediterranean, Indonesian, Dessert, Malay, Fusion",3.3/5.0 (8 reviews)
Fitra Chicken Rice (S55) @ Kopitiam Sengkang,"10 Sengkang Square, Kopitiam Foodcourt Singapore 544829 #01-01",Yes,No,No,Yes,"Asian, Chicken, Singaporean",4.7/5.0 (3 reviews)
Fitra Chicken Rice (S3) @ Hillion Mall (Kopitiam),"17 Petir Road, Hillion Mall Singapore 678278 #02-15/20",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
Kedai Makan Muhajirin @ Toa Payoh,"20 Toa Payoh Lorong 7, Singapore 310020",No,Yes,Yes,No,"Malay, Chicken, Seafood, Indonesian, Beef, Lamb",4.4/5.0 (219 reviews)
Sedap Thai @ Berseh Hawker Centre,"166 Jalan Besar, Berseh Hawker Centre Singapore 208877 #01-08",Yes,No,Yes,No,"Vegetarian, Seafood, Chicken, Asian, BBQ, Thai",4.6/5.0 (432 reviews)
Nurul Delights @ Bukit Batok West Avenue 4,"Blk 413 Bukit Batok West Ave 4, Singapore 650413 #01-208",No,Yes,Yes,No,"Malay, Chicken, Indonesian",4.3/5.0 (27 reviews)
Ayza's Restaurant @ Jurong West,"Blk 508 Jurong West St 52, Singapore 640508 #01-170",No,Yes,Yes,No,"Chinese, Seafood, Beverages, Chicken, Italian, Western, Asian, Malay, Indian, Thai, Japanese, Korean, Fusion, Opens 24 Hours",4.1/5.0 (2428 reviews)
Maisal Nasi Padang @ Yio Chu Kang Rd,"1j Yio Chu Kang Road, Singapore 545515",No,Yes,Yes,No,"Seafood, Singaporean, Asian, Malay, Vegetarian, Beef, Lamb, Chicken",4.1/5.0 (54 reviews)
Khatib Foodshop,"201 Yishun Ave 2, Singapore 769092 #01-01",Yes,No,Yes,No,"Chicken, Malay, Asian, Chinese, Beverages",3.4/5.0 (145 reviews)
Lukhon Thai - Thai BBQ & Steamboat,"110 Pasir Ris Central, Pasir Ris Central Hawker Central, Singapore 519641 #02-05",Yes,No,Yes,No,"Steamboat, BBQ, Seafood, Chicken, Beef, Lamb, Thai",4.0/5.0 (105 reviews)
Nasi Lemak and Chicken Rice Hipster by Adimann,"505 Beach Road, Golden Mile Food Centre, Singapore 199583 #B1-12",No,Yes,Yes,No,"Seafood, Malay, Chicken, BBQ",4.2/5.0 (9 reviews)
Mami Midah Briyani,"4a Eunos Crescent, Singapore 402004 #01-17",No,Yes,Yes,No,"Malay, Chicken, Lamb, Beef, Indian, Nasi Briyani",4.0/5.0 (94 reviews)
Makan by the Bay @ Satay by The Bay,"Gardens By The Bay, 18 Marina Gardens Drive (Satay By The Bay), 018952, (Marina Bay) #01-19",Yes,No,Yes,No,"Vegetarian, Healthy, Chicken, Seafood, BBQ, Asian, BBQ Sambal Stingray",3.5/5.0 (30 reviews)
An-Nur Shenton Way Special @ 19 Masiling Lane,19 Marsiling Lane Singapore 730019 #01-283,No,Yes,No,Yes,"Indian, Mee Combo, Opens 24 Hours",3.2/5.0 (30 reviews)
Ma Mum @ Our Tampines Hub,1 Tampines Walk Singapore 528523 #B1-K8/K9,Yes,No,Yes,No,"Singaporean, Asian",2.6/5.0 (45 reviews)
Ma Mum to-go @ Changi Airport Terminal 1 (Public),80 Airport Boulevard Singapore 819642 #01-K23,Yes,No,Yes,No,"Singaporean, Asian, Opens 24 Hours",3.3/5.0 (78 reviews)
Ma Mum @ Changi Airport Terminal 4 (Public),"Level 1 Public Area, 10 Airport Blvd., Changi Airport Singapore, Terminal 4, Singapore 819665 #01-04",Yes,No,Yes,No,"Singaporean, Asian, Opens 24 Hours",3.6/5.0 (221 reviews)
Habib's Rojak @ 503 West Coast Drive,503 West Coast Drive Singapore 120503,No,Yes,No,Yes,Indian,3.9/5.0 (76 reviews)
Habib's Express @ 785 Woodlands Rise,785e Woodlands Rise Singapore 730785 #01-16,No,Yes,No,Yes,"Indian, Opens 24 Hours",1.4/5.0 (29 reviews)
Habib's Express @ Sumang Walk,218 Sumang Walk Singapore 821217 #01-10,No,Yes,No,Yes,Indian,4.1/5.0 (12 reviews)
Selera Sumang @ Punggol Walk,"308c Punggol Walk, Singapore 823308 #01-308",No,Yes,No,Yes,"Singaporean, Malay, Indonesian",4.0/5.0 (150 reviews)
Penyet King @ Northpoint City,1 North Point Drive Singapore 768019 #02-101,Yes,No,No,Yes,"Indonesian, Ayam Penyet",1.0/5.0 (1 reviews)
Penyet King @ Vivo City (Kopitiam),1 Harbourfront Walk Singapore 098585  #B2-39 (S9),Yes,No,No,Yes,"Indonesian, Ayam Penyet",2.0/5.0 (23 reviews)
Penyet King @ Junction 8,9 Bishan Place Singapore 579837  04-01 (S3),Yes,No,No,Yes,"Indonesian, Ayam Penyet",3.1/5.0 (11 reviews)
Penyet King @ Bagus Causeway Point,1 Woodlands Square Singapore 738099  #07-03 (S06),Yes,No,No,Yes,"Indonesian, Ayam Penyet",1.0/5.0 (7 reviews)
Penyet King @ Fork And Spoon HDB Hub,470 Lorong 6 Toa Payoh Singapore 310470  #02-70 (S1),Yes,No,No,Yes,"Indonesian, Ayam Penyet",2.3/5.0 (19 reviews)
Penyet King @ CookHouse Waterway Point,83 Punggol Central Singapore 828761 #02-20/21 (S8),Yes,No,No,Yes,"Indonesian, Ayam Penyet",3.3/5.0 (17 reviews)
D'Rubina @ Punggol,10 Tebing Lane Singapore 828849,Yes,No,Yes,No,"Singaporean, Indian, Thai, Malay",3.5/5.0 (386 reviews)
Pondok Pantai Timor Ayam Penyet,Blk 301 Ubi Avenue 1 (Inside Ubi 301 Food House) Singapore 400301,No,Yes,No,Yes,"Malay, Vegetarian, Chicken, Indonesian, Nasi Ayam Penyet",4.3/5.0 (30 reviews)
Jasmin Stall Mee Goreng,"2 Seah Im Road, Seah Imm Food Centre, Stall 786, Singapore 099114",No,Yes,No,Yes,"Chicken, Seafood, Asian, Malay, Indian",2.9/5.0 (10 reviews)
Brisket King Beef Noodle (S13) @ Food Republic City Square Mall,180 Kitchener Road Singapore 208539 Level 4 Food Republic Food Court,Yes,No,Yes,No,Chinese,3.4/5.0 (36 reviews)
Fatty Bom Bom Sizzle @ 506 Bukit Batok,"Blk 506 Bukit Batok Street 52, Singapore 650506",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.8/5.0 (250 reviews)
Wareong Esmeralda,"3026 Ubi Rd 1, Singapore 408719",No,Yes,Yes,No,"Malay, Chicken, Seafood, Vegetarian",4.9/5.0 (8 reviews)
Pondok Daun Upeh,"929 Tampines Street 91, Singapore 520929",No,Yes,Yes,No,"Malay, Chicken, Seafood",3.5/5.0 (94 reviews)
1983 A Taste of Nanyang @ SMU Li Ka Shing Library,"70 Stamford Road, Singapore 178901 #01-21",Yes,No,Yes,No,"Asian, Beverages, Dessert, Chicken, Seafood, Vegetarian",4.2/5.0 (9 reviews)
D'Rubina @ Yishun,"461 Yishun Ave 6,  Singapore 760461 #01-13",Yes,No,Yes,No,"Singaporean, Indian, Thai, Malay",3.4/5.0 (134 reviews)
D'Rubina @ 340 Ang Mo Kio Ave 1,"340 Ang Mo Kio Ave 1, Singapore 560340 #06-01",Yes,No,Yes,No,"Singaporean, Indian, Thai, Malay",3.4/5.0 (37 reviews)
D'Rubina @ Sembawang,592 Sembawang Road Singapore 758451,Yes,No,Yes,No,"Singaporean, Indian, Thai, Malay, Opens 24 Hours",4.0/5.0 (1563 reviews)
Al Habib Indian Muslim Food @ Blk 312A Sumang Link,"Blk 312a Sumang Link, Punggol Parcvista, Singapore 821312 #01-05",No,Yes,No,Yes,"Chicken, Vegetarian, Indian",3.4/5.0 (79 reviews)
Al Habib Indian Muslim Food @ Blk 291 Yishun,"Blk 291 Yishun Street 22, Singapore 760291 #01-369",No,Yes,No,Yes,"Chicken, Vegetarian, Indian",3.8/5.0 (75 reviews)
Dapur Bonda Khadijah,"166 Jalan Besar, Berseh Food Center, Singapore 208877  #01-10",No,Yes,Yes,No,"Malay, Vegetarian, Chicken, Seafood",5.0/5.0 (2 reviews)
DJ Muslim Seafood & Satay Grill,"38a Margaret Dr,  Singapore 142038 #02-22",No,Yes,Yes,No,"Malay, Chicken, Seafood",4.4/5.0 (25 reviews)
Al-Amin Food Paradise @ Newton Circus Food Centre,"500 Clemenceau Avenue, Singapore 229495 #01-26",No,Yes,Yes,No,"Indian, Beverages, Chicken, Soup Tulang",3.7/5.0 (23 reviews)
Aiman Cafe @ Jurong East,"235 Jurong East Street 21, Singapore 600235",No,Yes,Yes,No,"Beverages, Chicken, Western, Malay, Italian, Vegetarian, Seafood",4.2/5.0 (2663 reviews)
Uncle Penyet Fusion @ Geylang Serai,"1 Geylang Serai, Singapore 402001",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.7/5.0 (24 reviews)
